,time,Search_impression,Meta_impression,Youtube_impression,Display_impression,PMax_impression,Connectedtv_impression,Search_spend,Meta_spend,Youtube_spend,Display_spend,PMax_spend,Connectedtv_spend,conversions,revenue_per_conversion,search_interest
0,1/1/2023,45458,1061214,720397,2189546,0,0,17177.28,9890.25,6131.165,10580.69,0,0,702,300,43
156,1/8/2023,53280,1377898,733307,1661447,0,0,21573.69,12697.89,7000.576,11387.52,0,0,708,300,54
312,1/15/2023,49750,1532581,692935,1945037,0,0,19809.53,14626.02,6378.345,12444.91,0,0,719,300,64
468,1/22/2023,30471,1486435,157262,1486696,0,0,15486.6,15408.26,1451.002,14640.11,0,0,668,300,61
624,1/29/2023,40332,1663303,882619,1803163,0,0,24646.08,25032.22,9480.076,16066.6,0,0,737,300,58
780,2/5/2023,31050,545983,416242,1648429,0,0,18584.4,8607.84,4678.23,13944.07,0,0,716,300,56
936,2/12/2023,30776,470674,307632,1502770,0,0,18609.41,6287.53,4392.213,12823.7,0,0,716,300,56
1092,2/19/2023,28997,324912,410325,2137431,0,0,18377.38,4284.24,4370.365,13456.54,0,0,702,300,54
1248,2/26/2023,26598,325862,311177,6527391,0,0,15618.5,3854.58,4168.997,17122.18,0,0,711,300,57
1404,3/5/2023,24490,628250,356588,6700238,0,0,12990.35,7052.35,4930.263,15605.36,0,0,730,300,75
1560,3/12/2023,24101,562705,388713,6613605,0,0,13867.26,6879.61,5249.209,17932.83,0,0,734,300,40
1716,3/19/2023,25184,686127,315475,6220708,0,0,15805.15,8460.63,5185.16,19095.49,0,0,706,300,53
1872,3/26/2023,29400,637020,346719,6141645,0,0,18001.52,7508.38,5014.776,25086.13,0,0,651,300,56
2028,4/2/2023,29054,678575,310889,7095743,0,0,17313.14,7894.56,4487.717,18568.15,0,0,632,300,54
2184,4/9/2023,25163,740115,287710,6398429,0,0,15096.32,8731.12,5111.37,17223.3,0,0,671,300,53
2340,4/16/2023,26419,770543,274990,6420223,0,0,16324.9,8602.83,4946.766,17146.01,0,0,651,300,52
2496,4/23/2023,24950,737039,257258,6428643,0,0,16038.07,8644.62,5022.537,21890.89,0,0,586,300,54
2652,4/30/2023,24112,832490,254976,7168305,0,0,14535.2,8698.69,4975.493,19618.86,0,0,537,300,55
2808,5/7/2023,24126,844513,364737,6565440,0,0,19939.74,8808.29,5041.233,15675.79,0,0,525,300,60
2964,5/14/2023,25586,2353842,315320,4579549,0,0,20411.55,15647.79,5057.941,13638.42,0,0,534,300,51
3120,5/21/2023,21978,2977077,307523,3691201,0,0,17747.37,18749.56,5329.834,13627.68,0,0,570,300,41
3276,5/28/2023,23934,3928905,296288,4605643,0,0,20586.34,22212.66,5715.974,21232.96,0,0,559,300,40
3432,6/4/2023,23642,3174537,301079,5235889,0,0,21124.32,19346.39,5682.565,16386.23,0,0,548,300,43
3588,6/11/2023,23626,3522950,270566,4821959,0,0,22489.37,25231.78,5967.614,14283.71,0,0,566,300,39
3744,6/18/2023,27477,3421908,338318,5553236,0,0,26361.08,25837.11,7643.115,16469.93,0,0,574,300,40
3900,6/25/2023,47588,4314042,694688,5688408,0,0,66393.38,35751.1,12903.33,22378.92,0,0,570,300,43
4056,7/2/2023,14093,1409043,127473,4030345,0,0,9363.72,8000.3,1750.168,6734.551,0,0,385,300,37
4212,7/9/2023,16476,1037749,154068,2667479,0,0,8811.236,4349.65,2235.441,5328.663,0,0,361,300,45
4368,7/16/2023,14922,1052872,141649,2616252,0,0,8745.739,4522,2200.156,5364.363,0,0,279,300,42
4524,7/23/2023,16299,1000619,149336,2531582,0,0,10543.03,3987.24,2153.139,5462.556,0,0,262,300,46
4680,7/30/2023,16457,1113560,243265,2597216,0,0,10355.7,2873.34,2447.873,5528.757,0,0,251,300,53
4836,8/6/2023,15640,933817,235884,2889983,0,0,9615.767,2901.59,2575.348,5568.277,0,0,245,300,52
4992,8/13/2023,14974,909901,228704,3354632,0,0,8929.98,2995.96,2545.752,6157.949,0,0,254,300,61
5148,8/20/2023,15931,882191,215723,3363786,0,0,9398.53,2995.88,2465.792,6269.655,0,0,251,300,75
5304,8/27/2023,10365,927357,218632,3675685,0,0,5044.6,3561.19,2453.799,6608.828,0,0,164,300,100
